month,day,names
3,7,Bazyli;Dorian;Doriana;Eubul;Felicyta;German;Izaura;Jan
3,8,Beata;Filemon;Herenia;Jan;Julian;Miłochna;Miłogost;Stefan
3,9,Apollo;Dalila;Dominik;Franciszka;Katarzyna;Mścisław;Mścisława;Prudencjusz
3,10,Aleksander;Bożysław;Cyprian;Gaja;Gajus;Makary;Marcel;Marceli
3,11,Balbin;Balbina;Benedykt;Drogosława;Edwin;Kandyd;Konstanty;Konstantyn
3,12,Alojzy;Bernard;Blizbor;Grzegorz;Józefina;Justyna;Piotr;Sybilla
3,13,Bożena;Ernest;Grzegorz;Kasjan;Krystyna;Marek;Mirabela;Patrycja
3,14,Afrodyzja;Afrodyzjusz;Afrodyzy;Bożeciecha;Dalia;Eudoksja;Ewa;Fawila
3,15,Delfina;Gościmir;Heloiza;Klemens;Klich;Krzysztof;Longin;Longina
3,16,Abraham;Artemia;Cyriak;Gabriel;Henrieta;Henryk;Henryka;Herbert
3,17,Agrykola;Ambroży;Cieszysław;Gertruda;Jan;Józef;Patrycjusz;Patrycy
3,18,Adela;Aleksa;Aleksander;Anzelm;Boguchwał;Celestyna;Cyran;Cyryl
3,19,Aleksandra;Bogdał;Bogdan;Jan;Józef;Józefa;Józefina;Laila
3,20,Aleksander;Aleksandra;Ambroży;Anatol;Archip;Bogusław;Cyriaka;Ermegarda
3,21,Benedykt;Filemon;Hektor;Klemencja;Lubomir;Lubomira;Ludomira;Marzanna
3,22,August;Baldwin;Baldwina;Bazyli;Benwenut;Benwenuta;Benwenuty;Bogusław
3,23,Eberhard;Feliks;Katarzyna;Konrad;Mściwuj;Oktawian;Pelagia;Pelagiusz
3,24,Ademar;Aldmir;Bertrada;Czasław;Dzirżysława;Dzirzysława;Gabor;Gabriel
3,25,Bolek;Cezaryna;Dula;Dyzma;Ireneusz;Lutomysł;Łucja;Maria
3,26,Bazyli;Dora;Duszan;Emanuel;Emanuela;Feliks;Larysa;Manuel
3,27,Benedykt;Ernest;Ernesta;Jan;Lidia;Marek;Mateusz;Rościmir
3,28,Aleksander;Aniela;Antoni;Biezstryj;Biezwuj;Doroteusz;Guntram;Ingbert
3,29,Bernold;Bertold;Cyryl;Czcirad;Eustachy;Eustazy;Helmut;Ludolf
3,30,Amadea;Amadeusz;Amelia;Aniela;Częstobor;Dobromir;Jan;Kwiryn
3,31,Achacjusz;Achacy;Amos;Balbina;Beniamin;Beniamina;Dobromira;Gwido
4,1,Budzisław;Budzisz;Chryzanta;Dziwigor;Grażyna;Hugo;Hugon;Jakubina
4,2,Franciszek;Laurencja;Żeliwuj;Malwina;Maria;Miłobąd;Sędomir;Teodozja
4,3,Antoni;Cieszygor;Dariusz;Irena;Jakub;Pankracy;Renata;Ryszard
4,4,Ambroży;Benedykt;Izydor;Izydora;Żelimir;Platon;Teodul;Wacław
4,5,Borzywój;Borzywoj;Irena;Julian;Juliana;Julianna;Kleofas;Tristan
4,6,Ada;Celestyna;Diogenes;Ireneusz;Izolda;Katarzyna;Świętobor;Świętochna
4,7,Donat;Epifaniusz;Hegezyp;Herman;Hermina;Jan;Koryna;Kwiryna
4,8,Amadeusz;Apolinary;August;Cezar;Cezary;Cezaryna;Dionizy;January
4,9,Dobrosława;Dymitr;Heliodor;Maja;Marcel;Marceli;Maria;Wadim
